sled_arg_name,harmonized_name,source,resolved_in_mother
1 PAIS,NUEVO PAIS,batch_lookup,True
ACCION CHAQUEÑA,ACCION CHAQUEÑA,direct_match,
ACCION CHUBUTENSE,ACCION CHUBUTENSE,direct_match,
ACCION FEDERALISTA POR BUENOS AIRES,ALIANZA ACCION FEDERALISTA POR BUENOS AIRES,batch_lookup,True
ACCION POR LA REPUBLICA,ACCION POR LA REPUBLICA,direct_match,
ACCION RIOJANA,ACCION RIOJANA,direct_match,
ACUERDO CIVICO Y SOCIAL,ACUERDO CIVICO Y SOCIAL,direct_match,
ACUERDO PARA EL BICENTENARIO,ACUERDO PARA EL BICENTENARIO,direct_match,
ADELANTE NEUQUEN,PARTIDO ADELANTE NEUQUÉN,batch_lookup,True
AFIRMACION PARA UNA REPUBLICA IGUALITARIA,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,direct_match,
AFIRMACION POR UNA REPUBLICA IGUALITARIA - ENCUENTRO NEUQUINO,ALIANZA AFIRMACION POR UNA REPUBLICA IGUALITARIA - ENCUENTRO NEUQUINOA,batch_lookup,True
AGRARIO Y SOCIAL,AGRARIO Y SOCIAL,direct_match,
AGRUPACION POLITICA MUNICIPAL CON LA GENTE,"AGRUPACIÓN POLÍTICA MUNICIPAL ""CON LA GENTE""",batch_lookup,True
ALIANZA DE CENTRO,ALIANZA DE CENTRO,direct_match,
"ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION","ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION",direct_match,
"ALIANZA SANTACRUCEÑA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION","ALIANZA SANTACRUCEÑA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACIONA",batch_lookup,True
ALTERNATIVA POPULAR,ALIANZA ALTERNATIVA POPULAR,batch_lookup,True
APERTURA POPULAR DE NEUQUEN,APERTURA POPULAR DE NEUQUEN,direct_match,
ARRIBA CHUBUT,ALIANZA ARRIBA CHUBUT,batch_lookup,True
ARRIBA NEUQUEN,ARRIBA NEUQUÉN,batch_lookup,True
AUTENTICO FORMOSEÑO,AUTENTICO FORMOSEÑO,direct_match,
AUTODETERMINACION Y LIBERTAD,AUTODETERMINACION Y LIBERTAD,direct_match,
AUTONOMISTA,AUTONOMISTA,direct_match,
AVANCEMOS,AVANCEMOS,direct_match,
AVANCEMOS HACIA 1 PAIS MEJOR,ALIANZA AVANCEMOS HACIA 1 PAÍS MEJORE,batch_lookup,True
AVANZA LIBERTAD,ALIANZA AVANZA LIBERTAD,batch_lookup,True
AVANZAR NEUQUEN,AVANZAR NEUQUÉN,batch_lookup,True
AVANZAR Y CAMBIEMOS POR SAN LUIS,AVANZAR Y CAMBIEMOS POR SAN LUIS,direct_match,
BLOQUISTA,BLOQUISTA,direct_match,
BUENOS AIRES PARA TODOS,BUENOS AIRES PARA TODOS,direct_match,
CAMBIA MENDOZA,CAMBIA MENDOZA,direct_match,
CAMBIA RIO NEGRO,CAMBIA RÍO NEGRO,batch_lookup,True
CAMBIA SAN LUIS,CAMBIA SAN LUIS,direct_match,
CAMBIA SANTA CRUZ,CAMBIA SANTA CRUZ,direct_match,
CAMBIEMOS,CAMBIEMOS,direct_match,
CAMBIEMOS - FUERZA CIVICA RIOJANA,ALIANZA CAMBIEMOS - FUERZA CÍVICA RIOJANA,batch_lookup,True
CAMBIEMOS BUENOS AIRES,ALIANZA CAMBIEMOS BUENOS AIRES,batch_lookup,True
CAMBIEMOS CHUBUT,ALIANZA CAMBIEMOSB,batch_lookup,True
CAMBIEMOS RIO NEGRO,CAMBIEMOS RÍO NEGRO,batch_lookup,True
CELESTE Y BLANCO DE LOS TRABAJADORES,CELESTE Y BLANCO DE LOS TRABAJADORES,direct_match,
CHACO CAMBIA + JUNTOS POR EL CAMBIO,ALIANZA CHACO CAMBIA + JUNTOS POR EL CAMBIOB,batch_lookup,True
CHACO SOMOS TODOS,ALIANZA CHACO SOMOS TODOS,batch_lookup,True
CHUBUT AL FRENTE,ALIANZA CHUBUT AL FRENTE,batch_lookup,True
CIUDADANO PARA LA VICTORIA,CIUDADANO PARA LA VICTORIA,direct_match,
CIUDADANOS COMPROMETIDOS - CICO,ALIANZA CIUDADANOS COMPROMETIDOS - CICO,batch_lookup,True
CIVICA,ALIANZA CIVICA,batch_lookup,True
COALICION CIVICA,COALICION CIVICA,direct_match,
COALICION CIVICA ARI NEUQUEN,COALICION CIVICA ARI NEUQUEN,direct_match,
COALICION CIVICA POR LA RESISTENCIA,ALIANZA COALICIÓN CÍVICA POR LA RESISTENCIA,batch_lookup,True
COALICION CIVICA-AFIRMACION PARA UNA REPUBLICA IGUALITARIA,COALICION CIVICA-AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA,batch_lookup,True
COALICION UNE - EL FRENTE Y LA PARTICIPACION NEUQUINA,COALICIÓN UNE - EL FRENTE Y LA PARTICIPACIÓN NEUQUINA,batch_lookup,True
COMPROMISO FEDERAL,COMPROMISO FEDERAL,direct_match,
COMPROMISO POR SAN JUAN,COMPROMISO POR SAN JUAN,direct_match,
COMUNIDAD,COMUNIDAD,direct_match,
COMUNIDAD ORGANIZADA,COMUNIDAD ORGANIZADA,direct_match,
CONCERTACION ENTRERRIANA,ALIANZA CONCERTACIÓN ENTRERRIANA,batch_lookup,True
CONCERTACION FUEGUINA,CONCERTACIÓN FUEGUINA,batch_lookup,True
CONCERTACION JUNTOS PARA LA VICTORIA,JUNTOS PARA LA VICTORIA,batch_lookup,True
CONCERTACION JUSTICIALISTA PARA EL CAMBIO,ALIANZA CONCERTACIÓN JUSTICIALISTA PARA EL CAMBIO,batch_lookup,True
CONCERTACION NEUQUINA PARA LA VICTORIA,CONCERTACIÓN NEUQUINA PARA LA VICTORIA,batch_lookup,True
CONCERTACION PARA EL DESARROLLO,ALIANZA CONCERTACION PARA EL DESARROLLOB,batch_lookup,True
CONCERTACION PLURAL,CONCERTACIÓN PLURAL,batch_lookup,True
CONCERTACION PROGRESISTA,ALIANZA CONCERTACIÓN PROGRESISTAD,batch_lookup,True
CONCERTACION UNA NACION AVANZADA,ALIANZA CONCERTACION UNA NACION AVANZADA,batch_lookup,True
CONF FRENTE AMPLIO FORMOSEÑO,CONF FRENTE AMPLIO FORMOSEÑO,direct_match,
CONFEDERACION FEDERALISTA INDEPENDIENTE,CONFEDERACION FEDERALISTA INDEPENDIENTE,direct_match,
CONFEDERACION FORMOSEÑA FRENTE POR TODOS,CONFEDERACION FORMOSEÑA FRENTE POR TODOS,direct_match,
CONFEDERACION FRENTE AMPLIO FORMOSEÑO,CONFEDERACION FRENTE AMPLIO FORMOSEÑO,direct_match,
CONFEDERACION POLITICA Y SOCIAL,CONFEDERACION POLITICA Y SOCIAL,direct_match,
CONFIANZA PUBLICA,CONFIANZA PUBLICA,direct_match,
CONSENSO FEDERAL,CONSENSO FEDERAL,direct_match,
CONSERVADOR POPULAR,CONSERVADOR POPULAR,direct_match,
CONVERGENCIA,ALIANZA CONVERGENCIA,batch_lookup,True
CONVERGENCIA POR SANTA CRUZ,CONVERGENCIA POR SANTA CRUZ,direct_match,
CONVERGENCIA RIOJANA,CONVERGENCIA RIOJANA,direct_match,
CONVOCATORIA INDEPENDIENTE,CONVOCATORIA INDEPENDIENTE,direct_match,
CORDOBA CAMBIA,CÓRDOBA CAMBIA,batch_lookup,True
CORDOBA PODEMOS,CÓRDOBA PODEMOS,batch_lookup,True
CORRENTINA,ALIANZA CORRENTINA,batch_lookup,True
CORRIENTE PATRIA LIBRE,CORRIENTE PATRIA LIBRE,direct_match,
CORRIENTES CRECE,ALIANZA CORRIENTES CRECE,batch_lookup,True
CREER,ALIANZA CREER,batch_lookup,True
CREO EN CORDOBA DE TODOS,CREO EN CÓRDOBA DE TODOS,batch_lookup,True
CRUZADA RENOVADORA,CRUZADA RENOVADORA,direct_match,
CUMPLIR,CUMPLIR,direct_match,
DE LA CIUDAD,DE LA CIUDAD,direct_match,
DE LA CONCERTACION FORJA,DE LA CONCERTACIÓN FORJA,batch_lookup,True
DE LA CORRIENTE RENOVADORA,DE LA CORRIENTE RENOVADORA,direct_match,
DE LA LEALTAD SANLUISEÑA,DE LA LEALTAD SANLUISEÑA,direct_match,
DE LA REVOLUCION DEMOCRATICA,DE LA REVOLUCION DEMOCRATICA,direct_match,
DE LA VICTORIA,DE LA VICTORIA,direct_match,
DEFENSA PROVINCIAL BANDERA BLANCA,DEFENSA PROVINCIAL BANDERA BLANCA,direct_match,
DEL OBRERO,DEL OBRERO,direct_match,
DEMOCRATA,DEMOCRATA,direct_match,
DEMOCRATA CRISTIANO,DEMOCRATA CRISTIANO,direct_match,
DEMOCRATA DE MENDOZA,DEMOCRATA DE MENDOZA,direct_match,
DEMOCRATA LIBERAL,DEMOCRATA LIBERAL,direct_match,
DEMOCRATA PROGRESISTA,DEMOCRATA PROGRESISTA,direct_match,
DEMOCRATA PROGRESISTA- CONTRA LA CORRUPCION,DEMOCRATA PROGRESISTA- CONTRA LA CORRUPCION,direct_match,
DESARROLLO Y LIBERTAD,DESARROLLO Y LIBERTAD,direct_match,
DIALOGO POR BUENOS AIRES,ALIANZA DIALOGO POR BUENOS AIRES,batch_lookup,True
DIALOGO POR LA CIUDAD,ALIANZA DIÁLOGO POR LA CIUDAD,batch_lookup,True
ECO + VAMOS CORRIENTES,ECO + VAMOS CORRIENTES,direct_match,
EL FRENTE Y LA PARTICIPACION NEUQUINA,EL FRENTE Y LA PARTICIPACION NEUQUINA,direct_match,
ELEGI MENDOZA,ELEGÍ MENDOZA,batch_lookup,True
ENCUENTRO PARA LOS RIONEGRINOS,ALIANZA ENCUENTRO PARA LOS RIONEGRINOSB,batch_lookup,True
ENCUENTRO POR CORRIENTES,ENCUENTRO POR CORRIENTES,direct_match,
ENCUENTRO POR CORRIENTES - ECO,ENCUENTRO POR CORRIENTES - ECO,direct_match,
ENCUENTRO POR CORRIENTES-ECO,ENCUENTRO POR CORRIENTES-ECO,direct_match,
ENCUENTRO POR CORRIENTES-ECO + CAMBIEMOS,ALIANZA ENCUENTRO POR CORRIENTES-ECO + CAMBIEMOS,batch_lookup,True
ENCUENTRO SANTACRUCEÑO,ENCUENTRO SANTACRUCEÑO,direct_match,
