state,year,chamber,coalition_label,classification,n_parties,orig_seats,disagg_sum,seat_check_ok
AGUASCALIENTES,1986,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,12,12,True
AGUASCALIENTES,1986,1,PARTIDO ACCION NACIONAL,exact_match,1,2,2,True
AGUASCALIENTES,1986,1,PARTIDO SOCIALISTA DE LOS TRABAJADORES,exact_match,1,1,1,True
AGUASCALIENTES,1986,1,PARTIDO DEMOCRATA MEXICANO,exact_match,1,1,1,True
AGUASCALIENTES,1986,1,PARTIDO AUTENTICO DE LA REVOLUCION MEXICANA,exact_match,1,0,0,True
AGUASCALIENTES,1986,1,PARTIDO POPULAR SOCIALISTA,exact_match,1,0,0,True
AGUASCALIENTES,1986,1,PARTIDO MEXICANO DE LOS TRABAJADORES,exact_match,1,0,0,True
AGUASCALIENTES,1986,1,PARTIDO SOCIALISTA UNIFICADO DE MEXICO,exact_match,1,0,0,True
AGUASCALIENTES,1989,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,12,12,True
AGUASCALIENTES,1989,1,PARTIDO ACCION NACIONAL,exact_match,1,3,3,True
AGUASCALIENTES,1989,1,PARTIDO DEL FRENTE CARDENISTA DE RECONSTRUCCION NACIONAL,exact_match,1,1,1,True
AGUASCALIENTES,1989,1,PARTIDO DE LA REVOLUCION DEMOCRATICA,exact_match,1,0,0,True
AGUASCALIENTES,1989,1,PARTIDO POPULAR SOCIALISTA,exact_match,1,0,0,True
AGUASCALIENTES,1989,1,PARTIDO AUTENTICO DE LA REVOLUCION MEXICANA,exact_match,1,0,0,True
AGUASCALIENTES,1992,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,20,20,True
AGUASCALIENTES,1992,1,PARTIDO ACCION NACIONAL,exact_match,1,1,1,True
AGUASCALIENTES,1992,1,PARTIDO AUTENTICO DE LA REVOLUCION MEXICANA,exact_match,1,1,1,True
AGUASCALIENTES,1992,1,PARTIDO DEL FRENTE CARDENISTA DE RECONSTRUCCION NACIONAL,exact_match,1,1,1,True
AGUASCALIENTES,1992,1,PARTIDO DE LA REVOLUCION DEMOCRATICA,exact_match,1,1,1,True
AGUASCALIENTES,1992,1,PARTIDO POPULAR SOCIALISTA,exact_match,1,1,1,True
AGUASCALIENTES,1995,1,PARTIDO ACCION NACIONAL,exact_match,1,13,13,True
AGUASCALIENTES,1995,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,11,11,True
AGUASCALIENTES,1995,1,PARTIDO DE LA REVOLUCION DEMOCRATICA,exact_match,1,1,1,True
AGUASCALIENTES,1995,1,PARTIDO DEL TRABAJO,exact_match,1,1,1,True
AGUASCALIENTES,1995,1,PARTIDO DEL FRENTE CARDENISTA DE RECONSTRUCCION NACIONAL,exact_match,1,1,1,True
AGUASCALIENTES,1995,1,PARTIDO VERDE ECOLOGISTA DE MEXICO,exact_match,1,0,0,True
AGUASCALIENTES,1998,1,PARTIDO ACCION NACIONAL,exact_match,1,16,16,True
AGUASCALIENTES,1998,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,10,10,True
AGUASCALIENTES,1998,1,PARTIDO DE LA REVOLUCION DEMOCRATICA,exact_match,1,1,1,True
AGUASCALIENTES,1998,1,PARTIDO DEL TRABAJO,exact_match,1,0,0,True
AGUASCALIENTES,1998,1,PARTIDO VERDE ECOLOGISTA DE MEXICO,exact_match,1,0,0,True
AGUASCALIENTES,2001,1,PARTIDO ACCION NACIONAL,exact_match,1,10,10,True
AGUASCALIENTES,2001,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,12,12,True
AGUASCALIENTES,2001,1,PARTIDO DE LA REVOLUCION DEMOCRATICA,exact_match,1,1,1,True
AGUASCALIENTES,2001,1,PARTIDO DEL TRABAJO,exact_match,1,2,2,True
AGUASCALIENTES,2001,1,PARTIDO VERDE ECOLOGISTA DE MEXICO,exact_match,1,2,2,True
AGUASCALIENTES,2001,1,CONVERGENCIA,exact_match,1,0,0,True
AGUASCALIENTES,2001,1,PARTIDO ALIANZA SOCIAL,exact_match,1,0,0,True
AGUASCALIENTES,2001,1,PARTIDO DE LA SOCIEDAD NACIONALISTA,exact_match,1,0,0,True
AGUASCALIENTES,2004,1,PARTIDO ACCION NACIONAL,exact_match,1,18,18,True
AGUASCALIENTES,2004,1,PRI-PT-PVEM,coalition_n,3,8,8,True
AGUASCALIENTES,2004,1,PRD-C,coalition_n,2,2,2,True
AGUASCALIENTES,2007,1,PARTIDO REVOLUCIONARIO INSTITUCIONAL,exact_match,1,14,14,True
AGUASCALIENTES,2007,1,PAN-NA,coalition_1,1,9,9,True
